,sal_20_21,currentAge,height,weight,total_timeOnIce,total_assists,total_goals,total_pim,total_hits,total_penaltyMinutes,total_faceOffPct,total_shotPct,total_overTimeGoals,total_shortHandedGoals,total_shortHandedTimeOnIce,total_blocked,total_plusMinus,assist_height,name,birthStateProvince,birthCountry,alternateCaptain,captain,rookie,shootsCatches,rosterStatus
198,700000.0,24,73.0,190,1221.24,16.0,17.0,42.0,176.0,42.0,57.980000000000004,25.08,0.0,0.0,76.6,24.0,3.0,1168.0,Right Wing,QC,CAN,False,False,False,L,Y
199,700000.0,24,71.0,190,409.5,3.0,3.0,10.0,36.0,10.0,52.52,7.0,0.0,0.0,40.3,9.0,-9.0,213.0,Center,ON,CAN,False,False,False,R,Y
200,2400000.0,24,72.0,191,2709.84,54.0,40.0,70.0,200.0,70.0,145.12,48.879999999999995,2.0,6.0,439.15999999999997,102.0,64.0,3888.0,Center,ON,CAN,False,False,False,L,Y
201,2400000.0,23,75.0,216,4031.16,81.0,25.0,124.0,303.0,124.0,50.0,19.57,0.0,1.0,98.57000000000001,259.0,39.0,6075.0,Defenseman,0,RUS,False,False,False,L,Y
202,125000.0,24,72.0,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,NJ,USA,False,False,True,L,Y
203,900000.0,30,75.0,204,2186.38,26.0,9.0,54.0,67.0,54.0,0.0,15.509999999999998,0.0,0.0,221.81,115.0,9.0,1950.0,Defenseman,0,CZE,False,False,False,R,Y
204,795000.0,44,81.0,250,11452.26,117.0,61.0,415.0,852.0,415.0,100.0,44.67999999999999,0.0,2.0,1656.8999999999999,773.0,125.0,9477.0,Defenseman,0,SVK,False,False,False,L,Y
205,10000000.0,35,75.0,238,11109.77,208.0,335.0,311.0,1450.0,311.0,264.15999999999997,94.02000000000001,11.0,0.0,7.93,209.0,0.0,15600.0,Left Wing,0,RUS,False,True,False,R,Y
206,4500000.0,34,71.0,196,9495.160000000002,204.0,168.0,256.0,752.0,256.0,305.32000000000005,113.83,4.0,4.0,523.71,372.0,91.0,14484.0,Right Wing,WA,USA,False,False,False,R,Y
207,12000000.0,33,73.0,206,10591.02,378.0,134.0,258.0,397.0,258.0,353.03000000000003,85.49,5.0,1.0,443.14,315.0,25.0,27594.0,Center,0,SWE,True,False,False,L,Y
208,2700000.0,32,71.0,185,7543.630000000001,127.0,77.0,212.0,499.0,212.0,239.63,52.03,1.0,3.0,1037.3700000000001,201.0,71.0,9017.0,Left Wing,0,SWE,False,False,False,L,Y
209,2500000.0,32,74.0,208,8505.46,118.0,99.0,297.0,587.0,297.0,352.67999999999995,67.66999999999999,3.0,5.0,995.17,321.0,-23.0,8732.0,Center,0,DNK,False,False,False,L,Y
210,8000000.0,31,75.0,215,12600.47,299.0,82.0,166.0,398.0,166.0,0.0,43.74,2.0,1.0,1410.1299999999999,1036.0,64.0,22425.0,Defenseman,MA,USA,True,False,False,R,Y
211,3000000.0,31,74.0,186,9052.349999999999,145.0,42.0,102.0,271.0,102.0,100.0,39.11,1.0,0.0,174.04999999999998,593.0,-18.0,10730.0,Defenseman,BC,CAN,False,False,False,R,Y
